sid	label	pkgname	ver	adunitshowid	mediashowid	apptype	nginxtime	ip	city	province	reqrealip	adidmd5	imeimd5	idfamd5	openudidmd5	macmd5	dvctype	model	make	ntt	carrier	os	osv	orientation	lan	h	w	ppi
d7460126-e071-4979-9ee8-42f72777a28a-1560090701088	1	2d2664e827bcbb8b07100c7fbe072e9b	11.11.0	907d0f8c29663840491577a21c7b612a	ca64a500000d84c8fcb8a0587d0e1e0c	280.0	1.560090701087E12	183.197.47.83	石家庄市	-1.0	180.76.181.7	eb4fa0cf77cdd57a6993a4e42c8fa4cf	930b3a8ecff4f586c63fec5b96693f32	empty	empty	ab96caaba2b7973e63fb0d3d5c5bf8b0	2.0	V1809A	vivo	2.0	46000.0	Android	8.1.0	0.0	zh-CN	2340.0	1080.0	3.0
b660d559-db97-4b5f-9bd2-2450cb89ce77-1560050740125	1	empty	NULL	10199dc8fea2e173525bc3151bd84312	3f2fc57a6e1f9c6fa4464c25cc1e88a3	319.0	1.560050740123E12	106.34.14.149	开封市	-1.0	47.95.111.138	a4ae6efcfaee62fb6da44a9c05753259	6e38deaa1f7b4118015c550bb21913d2	empty	a4ae6efcfaee62fb6da44a9c05753259	0f607264fc6318a92b9e13c65db7cd3c	2.0	BLA-AL00	HUAWEI	5.0	0.0	android	Android_9	0.0	NULL	1080.0	2040.0	0.0
f49a740e-66c3-4605-9b67-4d3079fe69cb-1560089145219	0	16b81f93f4b1a35cebbf15f07683f171	3.2.1.0524.1958	83f2ecfe65f936f5f2ed59f8e8ff1d01	eea7280e1a2313e4c2e89290b01d196c	273.0	1.560089145218E12	223.104.16.151	长春市	-1.0	39.96.159.155	3404f799628be2cf8fda7428aac2cca4	3fa42b06332c729f530b973973fabe3d	empty	empty	5ba1cf1efeee4f83e91f9c0adc3015e3	2.0	PBEM00	OPPO	2.0	46000.0	Android	8.1.0	1.0	zh-CN	2196.0	1080.0	0.0
fd60d096-f168-4540-b782-729d64d0fcc6-1560062539740	0	empty	4.7.5	9f1eadd9092b19bc86ee0cacde1c867f	eec946a5a66c023ec9d3b2ede5900626	265.0	1.56006253974E12	223.104.239.101	曲靖市	-1.0	47.101.65.230	941517d46b7261d98592425672bb86f5	04420edf96dde14c357db3e83d0b2310	empty	empty	empty	2.0	M711C	NULL	6.0	0.0	android	7.0	0.0	NULL	0.0	0.0	0.0
a037b032-a5c7-40ea-9161-26b118b12406-1560079380269	1	cf4821986014a7fef9d7b7ad8de655e4	228	2af944462e43cd2f59acbbfd37445413	57b3053174973702549ba88b6017ac30	336.0	1.560079380271E12	220.152.155.170	深圳市	-1.0	39.96.183.23	fc08a6724db4c2dcf9b5af3a4e0b6f38	23e94b65bab381bf57169149a20c0520	empty	empty	4363320019cbb7cde8b704908b673416	2.0	HUAWEI EML-AL00	EML-AL00	2.0	46000.0	Android	9	0.0	Zh-CN	2244.0	1080.0	0.0
7ac81a32-eefe-4fe9-9429-0ecb7be5d6b9-1560067584366	1	170a88a12e36f8a0f1b73442304398b1	30928000	f67a95c5c748a5bc252d3e854f8e4977	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560067584368E12	223.81.196.94	潍坊市	-1.0	39.96.159.162	empty	569f1fa33460b03d25ee4530b694a1b9	empty	empty	empty	2.0	VIVO X21I	vivo	2.0	46000.0	Android	8.1.0	1.0	zh-CN	760.0	360.0	0.0
18deaade-64b3-4cc1-9fc8-e847f744d973-1560049430218	0	b15030107319685361f4c8c0d9598cf1	NULL	4f2f5735b281a22587f22fb0aaba707e	651673a5531dde9cd40f08d09d16fe70	375.0	1.560049430219E12	117.175.96.33	宜宾市	-1.0	180.163.255.199	a4655aaad9ec0e6a8b38263cf8427d98	a7a1da187c94394b4d01cd032af6b974	empty	empty	empty	0.0	OPPO A57	OPPO	2.0	46000.0	android	6.0.1	0.0	NULL	1280.0	720.0	0.0
a2d14df0-d499-4856-a330-8595f2923e21-1560031095278	1	170a88a12e36f8a0f1b73442304398b1	30902000	4404268364e58fbf10c965a3bbc91924	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560031095278E12	27.188.221.141	邯郸市	-1.0	39.96.159.159	empty	0d7787ae05e518a795d4bbbdc2fd42a2	empty	empty	empty	2.0	CLT AL00	HUAWEI	2.0	46000.0	Android	9.0.0	1.0	zh-CN	747.0	360.0	0.0
c0f81859-8256-4474-bb32-2f3ed3700e19-1560067153800	0	9fa14a798a23957226e066966594d7da	NULL	d0267547ad324d53078c09095c2e1148	06765782b6564446531bf6795f0fdc48	336.0	1.560067153802E12	223.104.96.81	贵阳市	-1.0	119.254.201.249	empty	f0b4ad7a077c16698745c8e2ec8d7824	empty	empty	empty	0.0	VIVO X21A	vivo	6.0	46000.0	android	8.1.0	0.0	NULL	0.0	0.0	0.0
db524c74-d9f7-41ed-bf2e-f38cdea4e15b-1560057719169	1	3068122d33c1b72edb1f0d644f27405c	8.21.2	1ccb9164954c65e5e2fb5c7e176adb36	8832ab73ad09162a017fda9219ac2778	207.0	1.560057719166E12	117.182.16.211	来宾市	-1.0	120.25.205.160	aa701b41a41958a6e7b65796a499b5d7	cc8d88e01a26f05bef04e847ba5e6267	empty	empty	4170ecdd74362bc53f5f902002c0f1e0	2.0	PBAT00	OPPO	3.0	46000.0	android	8.1.0	1.0	zh-CN	1520.0	720.0	320.0
